GEO_ID,GEO_ID_1,DEC_MA,DEC_AAP,DPB,DPL,D25PH,D25PB,DEC_16P,DC_NW16,DEC_100,DEC_MGR,DEC_MI,DEC_BPLP,DEC_BPLM,DEC_BPLF,DEC_POO,DEC_PRO,DEC_FOC,DEC_FRC,AREA,PERCENTAGE
1400000US11001000100,1400000US11001000100,40.7,4,0.5625,0.25,0.058467742,83.4,1.4,26.9,0.147716229,1284.129,121134.86,0.05198973,0.023962345,0.028027386,0.531204112,0.468795888,0.009544787,0.003671072,0.000229998460717,94.344365574
1400000US11001000100,1400000US11001000202,32.9,1.6,0.524977293,0,0.027926078,85.3,0.3,31.9,0.099873578,1827.364,118664.78,0.244749806,0.090225564,0.154524242,0.561650993,0.438349007,0.00261233,0.003657262,6.26074983393e-06,2.56813227905
1400000US11001000100,1400000US11001000400,45.2,4.4,0.716216216,0,0.067612688,81.5,0.2,35.9,0.256666667,1645.413,169035.1,0.029980013,0.003331113,0.026648901,0.673134328,0.326865672,0.0,0.0,6.1631097339e-06,2.52808073583
1400000US11001000100,1400000US11001000501,32.5,4.8,0.565217391,0.033248082,0.046770601,83.3,2.9,19.3,0,1277.584,85766.99,0.059587471,0.023300229,0.036287242,0.177765237,0.822234763,0.00282167,0.0,1.10844799003e-07,0.0454680531623
1400000US11001000100,1400000US11001004100,42.8,3.8,0.811023622,0.062992126,0.039059032,81.8,0.9,22.6,0.615658363,1141.448,115414.53,0.036493455,0.027370091,0.009123364,0.460468058,0.539531942,0.004427577,0.0,1.07913373351e-06,0.442655951437
1400000US11001000100,1400000US11001005600,29.0,6,0.173637516,0.003802281,0.070978821,70,2.6,42.2,0,1110.032,51425.37,0.246128433,0.079909147,0.166219286,0.347862767,0.652137233,0.0,0.003937008,1.4486911894e-07,0.0594246808222
1400000US11001000100,1400000US11001006202,47.0,41.7,#DIV/0!,#DIV/0!,#DIV/0!,(X),(X),(X),0,0,0,0,0,0,#DIV/0!,#DIV/0!,0.0,0.0,2.89451082408e-08,0.0118731571722
1400000US11001000201,1400000US11001000201,19.9,5.4,0.005835668,0,0.125,60.8,2.1,45.9,0,0,115066.34,0.711442786,0,0.711442786,0.666666667,0.333333333,0.0,0.0,4.88317614311e-05,85.2794649525
1400000US11001000201,1400000US11001000300,30.4,3.1,0.536057692,0.044070513,0.053093035,83.5,1.6,25.2,0.033206831,1294.601,96287.42,0.156173913,0.073913043,0.08226087,0.47300216,0.52699784,0.011519078,0.003599712,7.81113977546e-07,1.3641322803
1400000US11001000201,1400000US11001000802,34.3,3.3,0.713846154,0.061538462,0.032848428,86.3,1.1,28.9,0.0640625,1036.728,100686.97,0.134354954,0.05274412,0.081610834,0.556379822,0.443620178,0.007418398,0.011127596,7.64799287426e-06,13.3564041346
1400000US11001000202,1400000US11001000100,40.7,4,0.5625,0.25,0.058467742,83.4,1.4,26.9,0.147716229,1284.129,121134.86,0.05198973,0.023962345,0.028027386,0.531204112,0.468795888,0.009544787,0.003671072,4.23088667918e-07,0.322518950585
1400000US11001000202,1400000US11001000201,19.9,5.4,0.005835668,0,0.125,60.8,2.1,45.9,0,0,115066.34,0.711442786,0,0.711442786,0.666666667,0.333333333,0.0,0.0,3.3824898023e-06,2.57845965662
1400000US11001000202,1400000US11001000202,32.9,1.6,0.524977293,0,0.027926078,85.3,0.3,31.9,0.099873578,1827.364,118664.78,0.244749806,0.090225564,0.154524242,0.561650993,0.438349007,0.00261233,0.003657262,0.000118735880333,90.5119291194
1400000US11001000202,1400000US11001000300,30.4,3.1,0.536057692,0.044070513,0.053093035,83.5,1.6,25.2,0.033206831,1294.601,96287.42,0.156173913,0.073913043,0.08226087,0.47300216,0.52699784,0.011519078,0.003599712,1.09947770945e-06,0.838127853405
1400000US11001000202,1400000US11001000400,45.2,4.4,0.716216216,0,0.067612688,81.5,0.2,35.9,0.256666667,1645.413,169035.1,0.029980013,0.003331113,0.026648901,0.673134328,0.326865672,0.0,0.0,1.75812859225e-08,0.0134021502244
1400000US11001000202,1400000US11001000802,34.3,3.3,0.713846154,0.061538462,0.032848428,86.3,1.1,28.9,0.0640625,1036.728,100686.97,0.134354954,0.05274412,0.081610834,0.556379822,0.443620178,0.007418398,0.011127596,7.52405443357e-06,5.73555929068
1400000US11001000300,1400000US11001000300,30.4,3.1,0.536057692,0.044070513,0.053093035,83.5,1.6,25.2,0.033206831,1294.601,96287.42,0.156173913,0.073913043,0.08226087,0.47300216,0.52699784,0.011519078,0.003599712,9.9214923527e-05,94.9597955067
1400000US11001000300,1400000US11001000400,45.2,4.4,0.716216216,0,0.067612688,81.5,0.2,35.9,0.256666667,1645.413,169035.1,0.029980013,0.003331113,0.026648901,0.673134328,0.326865672,0.0,0.0,6.56613640974e-09,0.0062845280586
