GEO_ID,dem_dec,emp_dec,edu_dec,hsv_dec,ten_dec,pov_dec,ssh_dec
1400000US11001000100,-3.273676534,-6.751991058,-6.649940655,0.284204312,-2.065977834,-2.080171018,-5.571904939
1400000US11001000201,-2.68733035,-6.385725953,-22.23982155,3.161744356,1.098801354,-5.714501663,0.664050611
1400000US11001000202,-2.944487254,-5.590507626,-12.19170509,0.440649434,-2.0172889,-9.495418591,-3.239844589
1400000US11001000300,-3.060983213,-8.233426268,-14.17914043,1.967312696,-3.81588472,-6.746801346,-2.57770387
1400000US11001000400,-3.121164261,-2.972125817,-4.987764034,1.7778818,0.2323569,-1.442243406,-0.382746983
1400000US11001000501,-2.875470164,-5.499806593,-7.075568083,4.492628396,-0.523994421,-1.506024069,-4.223552739
1400000US11001000502,-3.034368213,-5.490394347,-5.824573088,4.364691071,-1.682219876,-1.229373793,-3.490385847
1400000US11001000600,-3.570767918,-6.44216305,-6.989224502,5.344139074,-2.802886177,-2.132000024,-5.547903008
1400000US11001000701,-3.344365212,-6.630197135,-7.456106821,1.352278619,-2.85452635,-1.870026029,-3.336126364
1400000US11001000702,-2.916056263,-5.895506584,-8.667874938,0.420411171,-2.856997185,-4.782270422,-1.75431403
1400000US11001000801,-3.473791706,-9.928808912,-11.92704199,3.797163024,-3.73579428,-3.037353259,-3.892490409
1400000US11001000802,-2.914998343,-4.625703084,-6.991534254,0.203977741,-1.326133942,-4.036789956,-3.32987273
1400000US11001000901,-2.986384408,-14.40797168,-21.89020205,4.275007386,-1.571810524,-3.439078898,-1.086176244
1400000US11001000902,-3.071328884,-3.742514557,-5.055334133,7.661773828,-0.859845668,-1.665060486,-0.620397853
1400000US11001001001,-3.380424828,-7.62763059,-7.083969922,2.562801365,-3.865192697,-2.943885757,-4.8041443
1400000US11001001002,-2.933732548,-5.77984813,-9.339507887,9.343964741,-1.961404698,-5.256935738,-3.325900884
1400000US11001001100,-3.323016682,-6.205295078,-6.307555378,2.488134918,-2.243834079,-1.171342831,-4.073656043
1400000US11001001200,-3.223858227,-7.230195509,-8.001652882,5.19747907,-4.182512314,-2.587675611,-7.656043501
1400000US11001001301,-3.182941734,-5.634403597,-7.049621463,6.245165327,-1.940350588,-2.176695164,-4.68507324
1400000US11001001302,-3.381942865,-9.277174191,-7.349722174,10.53770313,-3.641876038,-1.580433403,-7.349841397
1400000US11001001401,-3.117176416,-5.187983474,-5.599012502,2.09754191,-1.47563386,-1.247752014,-2.233179268
1400000US11001001402,-3.75878584,-4.968027909,-5.430716722,4.827083173,-1.752392073,-4.619996198,-2.531872197
1400000US11001001500,-3.596426611,-6.404972527,-5.196407139,-0.970455994,-4.256094839,-1.540900907,-5.355517562
1400000US11001001600,-4.470080158,-5.588684445,-5.642303718,3.275835403,-5.34477546,-2.430121707,-0.860662013
1400000US11001001701,-4.17577173,-5.117918689,-5.113423185,2.955859426,-3.27812285,-3.151309719,-1.365475506
1400000US11001001702,-4.048801754,-3.790908127,-4.87802862,0.725275922,-2.043402578,-1.295286236,-2.981238224
1400000US11001001801,-2.899431289,-0.575439537,-6.322585058,4.9864053,1.120804692,-0.672428185,0.70142836
1400000US11001001803,-3.986503343,-4.996990063,-5.210802683,-0.127070414,-5.755364179,-2.579247101,-3.34418643
1400000US11001001804,-4.1572792,-5.742162339,-6.223961021,1.806819223,-8.238764252,-3.378753352,-5.513270406
1400000US11001001901,-4.577875654,-5.249253514,-5.945996331,-0.245555669,-5.681598273,-1.993596148,-1.205291097
1400000US11001001902,-4.323988017,-3.555914119,-5.166458429,3.674216693,-3.226729425,-1.894542723,-1.050161028
1400000US11001002001,-3.834040507,-3.810624492,-3.905634517,1.949955823,-2.721494627,-3.57189151,-1.566915186
1400000US11001002002,-4.20661671,-5.07694289,-6.326123091,4.063592207,-5.126830548,-2.865318169,-1.613199949
1400000US11001002101,-4.438625253,-6.151665827,-7.471494841,0.389486846,-7.695680256,-4.083879331,-4.179802928
1400000US11001002102,-4.629493013,-6.159716313,-8.522586275,1.681402393,-8.8198136,-1.922502415,-3.677618317
1400000US11001002201,-4.349138072,-4.558530926,-6.006329296,1.309605273,-5.810410433,-3.335771074,-1.186640537
1400000US11001002202,-4.316596924,-4.398880269,-4.808529289,5.112002694,-4.736115095,-2.300683559,-1.227248307
1400000US11001002301,-4.331157464,-4.579363187,-4.77956103,6.917472347,-4.799305264,-2.762014045,-1.732024205
1400000US11001002302,-3.502437085,-3.000708518,-6.077002774,4.02471698,-0.690068976,-4.112582711,-0.403521713
1400000US11001002400,-4.315809952,-4.936777989,-5.535087772,8.280106845,-4.515187004,-2.813795675,-1.771763645
1400000US11001002501,-3.924233275,-3.805540617,-4.496194929,5.60592891,-2.419506001,-3.719091245,-0.487844325
1400000US11001002502,-3.975465986,-6.342054352,-7.596303911,0.608539427,-7.385111128,-4.977257176,-5.17608481
1400000US11001002600,-4.014149577,-3.718041686,-4.993145017,1.407071086,-1.606591484,-2.464352999,-1.589293298
1400000US11001002701,-3.565754422,-7.565090512,-9.141819475,5.24073439,-9.253776927,-4.183032531,-7.403613447
1400000US11001002702,-3.44283455,-8.021516768,-10.05185187,4.434311726,-6.989734774,-6.927635404,-8.309166743
1400000US11001002801,-3.595540744,-4.714870789,-6.048125568,8.120932252,-5.895846619,-5.563038221,-2.657750881
1400000US11001002802,-3.444912226,-5.69096497,-8.235822969,3.439532656,-6.356009366,-7.257902266,-5.692494817
1400000US11001002900,-3.77896469,-5.59421013,-6.750597063,4.371368265,-7.189669469,-4.488645981,-4.308038369
1400000US11001003000,-3.710271044,-4.348966247,-4.185919748,1.605972241,-3.513918835,-5.227541895,-2.109204705
1400000US11001003100,-3.773424622,-4.877493077,-5.211815549,3.654149624,-3.326322384,-1.82142047,-2.819015521
1400000US11001003200,-4.323019745,-5.69579538,-6.59392778,2.30954869,-7.513416172,-4.686203281,-2.287495952
1400000US11001003301,-4.258886438,-4.372100551,-5.530392225,4.212444008,-2.88289262,-4.056603206,-2.852380209
1400000US11001003302,-4.13081518,-3.771660017,-4.588974709,-0.494982378,-1.686324827,-2.666008185,-0.653713782
1400000US11001003400,-4.035958896,-5.44419922,-15.17090578,1.355533466,-2.947757457,-5.934529357,-1.945328813
1400000US11001003500,-3.847137609,-5.074131474,-11.96107036,1.057493522,-3.147461939,-5.569920118,-0.104807405
1400000US11001003600,-3.867298065,-5.345687593,-6.74776181,0.725673501,-5.465376335,-7.547760867,-2.520766449
1400000US11001003700,-3.744655355,-6.258174856,-11.11407732,4.395591375,-6.40728917,-7.798138802,-2.978859726
1400000US11001003800,-3.492270285,-6.569460809,-7.66421171,0.280330277,-4.050000718,-4.365812057,-7.179292327
1400000US11001003900,-3.291013912,-7.315215305,-9.073447792,0.526916208,-3.615944771,-2.78301962,-9.347702224
1400000US11001004001,-3.038877825,-6.077403085,-5.83572455,0.671808919,-1.145100448,-1.442817099,-6.610890302
1400000US11001004002,-3.011503738,-5.415988315,-5.760990112,0.334285224,-2.126282716,-1.207483324,-5.73813383
1400000US11001004100,-3.140461976,-4.696452136,-5.229680873,-0.382056868,-0.869974049,-1.0563931,-5.466434153
1400000US11001004201,-3.074606059,-6.165462293,-7.274258101,-0.370140129,-2.150981725,-2.005827322,-8.034933937
1400000US11001004202,-2.966978193,-5.49884466,-6.678886218,1.993321126,-1.101364818,-1.819501502,-5.048515642
1400000US11001004300,-3.452097601,-5.151761222,-5.837108987,-0.301618882,-3.401978342,-3.653798312,-7.693956721
1400000US11001004400,-3.67072782,-4.182039643,-5.671312632,0.225493899,-4.123281204,-3.127774528,-2.632973732
1400000US11001004600,-4.164900985,-4.515651129,-5.908212489,0.244703085,-4.720434113,-4.301105836,-2.406209062
1400000US11001004700,-4.364621882,-5.002717127,-7.187143314,5.091451802,-7.926006998,-7.287000037,-1.402782102
1400000US11001004801,-3.960705761,-3.217481531,-4.471074872,-0.200326602,-2.820242188,-4.912477677,-1.010828056
1400000US11001004802,-3.945999569,-4.32251394,-5.936964856,1.732705053,-4.448088956,-4.738639664,-1.651060533
1400000US11001004901,-3.885839737,-3.770335061,-3.947154153,-1.067269346,-3.111407839,-4.406208391,-1.81022746
1400000US11001004902,-3.513241172,-3.992388766,-6.703431962,4.98785,-3.459475348,-3.521495932,-1.853737352
1400000US11001005000,-3.880798508,-9.024022502,-13.38523354,2.669972147,-9.795234458,-12.29787324,-10.49341181
1400000US11001005100,-3.184282436,-2.420950256,-3.9529692,0.276047786,0.497262925,-0.18790146,-0.736117279
1400000US11001005201,-3.374750177,-6.689599591,-8.308656277,1.581565616,-4.164015647,-4.817638912,-8.545636648
1400000US11001005202,-2.853116261,-2.548487568,-4.411258853,-1.067269346,-0.027389627,-2.882811951,0.310660983
1400000US11001005301,-3.141582965,-8.357701586,-10.11921863,-1.067269346,-3.07647227,-3.081671969,-11.13978819
1400000US11001005302,-2.883187515,-2.242546231,-4.274786624,3.69775268,1.017526234,-0.071878042,0.601188033
1400000US11001005401,-2.593255334,-3.678025525,-7.886571765,5.309507692,0.220632139,-2.240819183,-0.426864257
1400000US11001005402,-3.038470349,1.465556683,1.953993686,-0.50807935,1.126264522,1.126285835,0.71332128
1400000US11001005500,-3.165976636,-7.444823821,-9.854162648,-0.500176741,-2.77049433,-4.450470995,-5.216379797
1400000US11001005600,-3.089735518,-7.939945049,-19.81228632,0.824010053,-3.327937668,-9.845327724,-5.557362567
1400000US11001005701,-2.722569626,-10.98199276,-22.16681542,4.478683315,-0.385824968,-9.75018762,-0.963011366
1400000US11001005702,0.393203155,1.465556683,1.953993686,1.707659901,1.126264522,1.126285835,0.71332128
1400000US11001005800,-3.17718379,-3.140086308,-3.940692591,3.250220916,-1.017006328,-3.936127646,-0.521235596
1400000US11001005900,-4.063124942,-4.779281124,-5.277494013,1.813071556,0.013513102,-7.694041106,-0.670110409
1400000US11001006001,-3.769515988,-5.095804378,-6.037392972,-0.641913145,-2.834225485,-2.980242477,-2.79182745
1400000US11001006002,-3.42673466,-2.885545729,-1.822562711,0.858999181,0.274174195,-3.82942947,0.571455732
1400000US11001006100,-3.853274735,-4.499777271,-5.857942256,1.880429551,-2.090799943,-1.933940821,-1.386392093
1400000US11001006201,-3.208056288,-3.0468511,-2.569932232,8.756623542,1.020082103,-0.649868202,0.635167805
1400000US11001006202,-3.488046333,1.465556683,1.953993686,8.674226724,1.126264522,1.126285835,0.71332128
1400000US11001006301,-4.190764798,-5.573793914,-5.499125583,3.223760405,-4.688268549,-2.451224747,-1.896893953
1400000US11001006302,-3.346907371,-0.879741939,-3.550913259,10.45478501,1.111444984,0.257884841,0.694632405
1400000US11001006400,-4.1545763,-3.199579459,-2.92472631,12.49854608,-3.588349322,-6.124290847,-2.153145101
1400000US11001006500,-2.967130942,-4.983376814,-6.289512208,4.808233411,-1.083572662,-1.167246166,-3.497545764
1400000US11001006600,-2.86855854,-4.248215075,-5.587028609,4.197162362,-0.139917338,-1.239423709,-1.558519534
1400000US11001006700,-3.351899785,-5.893594596,-6.122416683,3.543103423,-1.969561905,-1.239288788,-5.19577196
1400000US11001006801,-4.217687456,-3.716837971,-4.909583461,2.421327628,-3.053523609,-3.579266989,-0.376548776
1400000US11001006802,-4.121981852,-3.85830324,-5.470619506,3.436818084,-3.190512917,-4.399917628,-1.854875919
1400000US11001006804,-4.060008449,-2.595537166,-9.158372702,7.500303145,0.832810966,-0.854180794,0.560412306
