GEO.id,dem_acs,emp_acs,edu_acs,hsv_acs,ten_acs,pov_acs,ssh_acs
1400000US11001000100,-3.914344344,-5.343579836,-11.05261191,-2.108180087,-0.589587658,-1.372077737,-5.418995648
1400000US11001000201,-3.182336847,-6.023178408,-11.05178714,-3.318723721,0.080642242,0.889292811,0.586414356
1400000US11001000202,-3.425575724,-5.455432462,-13.03121388,-2.78399508,0.46268217,-2.985065445,-3.189542181
1400000US11001000300,-3.675242969,-5.982534045,-11.52568505,-2.086819767,-0.01730241,-3.512466872,-4.783396248
1400000US11001000400,-3.331985719,-1.840298154,-11.01545499,-1.886612367,0.326392842,-0.02015495,0.056671544
1400000US11001000501,-3.335991411,-4.585790414,-11.2514225,-2.220777461,-1.08442167,-2.630109454,-2.941609426
1400000US11001000502,-3.628064154,-3.577446515,-10.20831006,-1.876969134,-0.113340173,-0.979536743,-4.443439519
1400000US11001000600,-4.231713297,-5.623158026,-11.16439766,2.358525344,1.036471849,-0.6343619,-4.401305422
1400000US11001000701,-4.182036342,-5.445023729,-10.62276334,0.771529807,0.441327711,0.457650743,-7.980452781
1400000US11001000702,-3.36969392,-4.454681044,-10.91189671,-2.01841639,-1.133276675,-1.35206103,-2.308815075
1400000US11001000801,-4.185583241,-7.843332898,-10.43530201,-1.991538171,0.479219587,-1.724531349,-4.285109508
1400000US11001000802,-3.570297821,-3.283710953,-10.36778507,-3.022370725,0.453164298,-1.040237319,-0.791149454
1400000US11001000901,-3.70255089,-9.401957499,-16.21198771,-2.517878074,0.788843175,-0.520149984,-2.69937864
1400000US11001000902,-3.494655986,-2.966880388,-10.4411602,-4.214463768,0.702058047,-0.31216788,-0.565238482
1400000US11001001001,-4.267604739,-7.713999357,-12.53751505,-1.435183588,2.088183869,-2.455939454,-8.509218773
1400000US11001001002,-3.563839157,-4.04601276,-10.76856702,-1.837970398,0.393333754,-3.203109761,-2.817874853
1400000US11001001100,-3.827381487,-4.293439901,-11.14097417,-2.662178993,1.560919441,-1.341705747,-4.424457998
1400000US11001001200,-3.745632162,-5.540680852,-11.53701553,-2.137105458,-0.357173113,-2.302433832,-2.398689768
1400000US11001001301,-3.878910477,-5.003948259,-11.25438624,0.725433282,-0.887401891,-2.297630199,-2.625273407
1400000US11001001302,-4.062307689,-7.539940716,-11.40340162,-2.577052848,-1.368433885,-1.769177117,-9.461855626
1400000US11001001401,-3.701117712,-3.185502009,-10.69365732,-3.725010804,0.042484676,-0.738859031,-1.574010428
1400000US11001001402,-4.134142009,-3.963757695,-9.845426501,-2.390534842,0.774762411,-0.741105058,-2.190207695
1400000US11001001500,-4.414859889,-5.335802534,-10.09788828,-0.515006381,2.085480809,-0.214249049,-4.291154961
1400000US11001001600,-5.399845496,-4.727277718,-9.592324431,-0.292996246,1.407084969,-0.268942859,-4.239302816
1400000US11001001702,-4.521501637,-3.854914072,-9.212512958,-0.731743016,0.263369802,-1.380409382,-1.814564365
1400000US11001001803,-5.040998616,-5.177401716,-6.837098615,1.182961916,-2.950572103,-2.677783788,-2.013960518
1400000US11001001804,-4.926700563,-6.260010707,-6.264404247,0.13845206,-3.965931484,-7.794863338,-4.385196108
1400000US11001001901,-5.388868628,-5.461372619,-8.197122753,-1.373795507,2.263024881,-2.122843214,-0.894780661
1400000US11001001902,-4.976196013,-3.51450323,-7.448107967,-1.223543531,0.237643564,-0.806051559,-0.219097969
1400000US11001002001,-4.328327257,-3.05566249,-6.296203557,2.095258584,-0.934636472,-0.839435746,-0.988406714
1400000US11001002002,-4.85650602,-5.270396739,-7.791204258,0.053743463,-0.145352355,-2.307619686,-2.750546134
1400000US11001002101,-4.943810251,-7.115915022,-5.967382965,0.023492733,-0.247384099,-4.714924323,-4.017231578
1400000US11001002102,-5.147382673,-5.869015946,-8.211644224,0.978723298,0.074401084,-2.734851047,-1.219828576
1400000US11001002201,-4.892280222,-4.915192535,-6.874492866,0.562906266,1.749992708,-0.075868855,-0.430426497
1400000US11001002202,-5.039566249,-4.774071467,-7.90649185,-0.849703602,-1.133287401,-1.862581013,-0.767457915
