GEO_ID,census2010.id,num.index,census2000.id,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,dec_lf,dec_lfp,dec_em,dec_emp,dec_ue,dec_uep,dec_nlf,decnlfp,dec_flf,dec_flfp,d_e1824,d_e24lm,d_e24lf,d_nh24l,d_nh24lm,d_nh24lf,d_hs24l,d_hs24lm,d_hs24lm.1,d_as24l,d_as24lm,d_as24lf,d_ba24l,d_ba24lm,d_ba24lf,d_hs24l.1,d_hs34lm,d_hs34lf,d_ba34l,d_ba34lm,d_ba34lf,d_hs44l,d_hs44lm,d_hs44lf,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_750999,dec_1000,DEC_MGRp,DEC_MOC,DEC_FOC,DEC_MRC,DEC_FRC,DEC_MO,DEC_FO,DEC_MR,DEC_FR,DEC_OO,DEC_RO,DEC_SSM,DEC_SSMF,DEC_SSF,DEC_SSO,DEC_BPL,DEC_BPLp,DEC_BPLM,DEC_BPLF,DEC_BPLMp,DEC_BPLFp,DEC_MI,GEO_ID
1400000US11001007407,0,1,163,1.2617,144.894,68.014,1.4539,76.88,1.6461,5.828,0.124,96.968,2.2661,95.046,2.2196,1.798,0.0434,35.712,0.8339,47.368,2.0832,8.928,3.782,5.146,2.232,1.271,0.961,0,0,0,1.674,1.426,0.248,5.022,1.085,3.937,3.1,3.1,3.1,3.0597,3.1,3.0194,2.9977,3.0597,2.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0.279,0,0,0.279,0,1.085,0.31,0.558,1.333,0,0.7998,0,0.806,0,0.31,0,0.527,0,0.31,44.857,39.587,0.713,2.046,0.341,80.321,7.533,0.1612,2.604,0.2511,3.286,0.2449,2868.74,1400000US11001007407
1400000US11001007407,0,2,169,37.5254,4309.428,2022.868,43.2418,2286.56,48.9582,173.336,3.688,2884.016,67.3982,2826.852,66.0152,53.476,1.2908,1062.144,24.8018,1408.816,61.9584,265.536,112.484,153.052,66.384,37.802,28.582,0,0,0,49.788,42.412,7.376,149.364,32.27,117.094,92.2,92.2,92.2,91.0014,92.2,89.8028,89.1574,91.0014,87.59,0,0,0,0,0,0,0,0,0,0,0,0,0,10.142,8.298,0,0,8.298,0,32.27,9.22,16.596,39.646,0,23.7876,0,23.972,0,9.22,0,15.674,0,9.22,1334.134,1177.394,21.206,60.852,10.142,2388.902,224.046,4.7944,77.448,7.4682,97.732,7.2838,85321.88,1400000US11001007407
1400000US11001007407,0,3,172,0.814,93.48,43.88,0.938,49.6,1.062,3.76,0.08,62.56,1.462,61.32,1.432,1.16,0.028,23.04,0.538,30.56,1.344,5.76,2.44,3.32,1.44,0.82,0.62,0,0,0,1.08,0.92,0.16,3.24,0.7,2.54,2,2,2,1.974,2,1.948,1.934,1.974,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.18,0,0,0.18,0,0.7,0.2,0.36,0.86,0,0.516,0,0.52,0,0.2,0,0.34,0,0.2,28.94,25.54,0.46,1.32,0.22,51.82,4.86,0.104,1.68,0.162,2.12,0.158,1850.8,1400000US11001007407
1400000US11001007407,0,4,173,1.0175,116.85,54.85,1.1725,62,1.3275,4.7,0.1,78.2,1.8275,76.65,1.79,1.45,0.035,28.8,0.6725,38.2,1.68,7.2,3.05,4.15,1.8,1.025,0.775,0,0,0,1.35,1.15,0.2,4.05,0.875,3.175,2.5,2.5,2.5,2.4675,2.5,2.435,2.4175,2.4675,2.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0.225,0,0,0.225,0,0.875,0.25,0.45,1.075,0,0.645,0,0.65,0,0.25,0,0.425,0,0.25,36.175,31.925,0.575,1.65,0.275,64.775,6.075,0.13,2.1,0.2025,2.65,0.1975,2313.5,1400000US11001007407
1400000US11001007407,0,5,174,0.0407,4.674,2.194,0.0469,2.48,0.0531,0.188,0.004,3.128,0.0731,3.066,0.0716,0.058,0.0014,1.152,0.0269,1.528,0.0672,0.288,0.122,0.166,0.072,0.041,0.031,0,0,0,0.054,0.046,0.008,0.162,0.035,0.127,0.1,0.1,0.1,0.0987,0.1,0.0974,0.0967,0.0987,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.009,0,0,0.009,0,0.035,0.01,0.018,0.043,0,0.0258,0,0.026,0,0.01,0,0.017,0,0.01,1.447,1.277,0.023,0.066,0.011,2.591,0.243,0.0052,0.084,0.0081,0.106,0.0079,92.54,1400000US11001007407
1400000US11001007409,1,6,176,0.1194,26.802,12.114,0.2712,14.688,0.3288,1.44,0.0324,14.49,0.3246,13.932,0.3126,0.558,0.0126,12.27,0.2754,8.004,0.3402,25.704,12.522,13.182,0,0,0,1.596,0.78,0.816,23.958,11.742,12.216,0.15,0,0.15,0.6,0.6,NA,0.6,NA,0.6,0.6,NA,0.6,0,0,0,0,0,0,0,0,0.042,0,0,0,0,0.072,0.06,0.114,0.336,0.342,0.822,0.636,0.498,0.234,0,0,0.1254,0,0,0,0,0,0,0,0,0.12,0.06,0,0,0,0.348,0.858,0.4266,0,0,0.858,0.4794,527.424,1400000US11001007409
1400000US11001007409,1,7,177,19.3627,4346.391,1964.487,43.9796,2381.904,53.3204,233.52,5.2542,2349.795,52.6393,2259.306,50.6933,90.489,2.0433,1989.785,44.6607,1297.982,55.1691,4168.332,2030.651,2137.681,0,0,0,258.818,126.49,132.328,3885.189,1904.161,1981.028,24.325,0,24.325,97.3,97.3,NA,97.3,NA,97.3,97.3,NA,97.3,0,0,0,0,0,0,0,0,6.811,0,0,0,0,11.676,9.73,18.487,54.488,55.461,133.301,103.138,80.759,37.947,0,0,20.3357,0,0,0,0,0,0,0,0,19.46,9.73,0,0,0,56.434,139.139,69.1803,0,0,139.139,77.7427,85530.592,1400000US11001007409
1400000US11001007409,1,8,178,0.4378,98.274,44.418,0.9944,53.856,1.2056,5.28,0.1188,53.13,1.1902,51.084,1.1462,2.046,0.0462,44.99,1.0098,29.348,1.2474,94.248,45.914,48.334,0,0,0,5.852,2.86,2.992,87.846,43.054,44.792,0.55,0,0.55,2.2,2.2,NA,2.2,NA,2.2,2.2,NA,2.2,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0.264,0.22,0.418,1.232,1.254,3.014,2.332,1.826,0.858,0,0,0.4598,0,0,0,0,0,0,0,0,0.44,0.22,0,0,0,1.276,3.146,1.5642,0,0,3.146,1.7578,1933.888,1400000US11001007409
1400000US11001007709,10,49,127,0.0822,13.442,5.652,0.084,7.79,0.116,0.584,0.0086,8.446,0.1402,6.712,0.1114,1.668,0.0276,3.604,0.0598,4.646,0.1312,2.61,1.008,1.602,0.064,0.05,0.014,0.178,0.038,0.14,1.846,0.758,1.088,0.522,0.162,0.36,0.1986,0.1966,0.2,0.196,0.2,0.1928,0.1976,0.2,0.196,0,0,0,0.02,0,0.014,0,0,0,0,0,0,0,0,0.014,0.086,0.106,0.126,0.21,0.194,0.062,0.02,0,0,0.0506,0,0.108,0,0.066,0,0.03,0.02,0.184,3.962,2.598,0.028,0.088,0,6.358,0.884,0.0148,0.238,0.0284,0.334,0.0214,160.532,1400000US11001007709
1400000US11001007709,10,50,134,0.5343,87.373,36.738,0.546,50.635,0.754,3.796,0.0559,54.899,0.9113,43.628,0.7241,10.842,0.1794,23.426,0.3887,30.199,0.8528,16.965,6.552,10.413,0.416,0.325,0.091,1.157,0.247,0.91,11.999,4.927,7.072,3.393,1.053,2.34,1.2909,1.2779,1.3,1.274,1.3,1.2532,1.2844,1.3,1.274,0,0,0,0.13,0,0.091,0,0,0,0,0,0,0,0,0.091,0.559,0.689,0.819,1.365,1.261,0.403,0.13,0,0,0.3289,0,0.702,0,0.429,0,0.195,0.13,1.196,25.753,16.887,0.182,0.572,0,41.327,5.746,0.0962,1.547,0.1846,2.171,0.1391,1043.458,1400000US11001007709
1400000US11001007709,10,51,151,0.1644,26.884,11.304,0.168,15.58,0.232,1.168,0.0172,16.892,0.2804,13.424,0.2228,3.336,0.0552,7.208,0.1196,9.292,0.2624,5.22,2.016,3.204,0.128,0.1,0.028,0.356,0.076,0.28,3.692,1.516,2.176,1.044,0.324,0.72,0.3972,0.3932,0.4,0.392,0.4,0.3856,0.3952,0.4,0.392,0,0,0,0.04,0,0.028,0,0,0,0,0,0,0,0,0.028,0.172,0.212,0.252,0.42,0.388,0.124,0.04,0,0,0.1012,0,0.216,0,0.132,0,0.06,0.04,0.368,7.924,5.196,0.056,0.176,0,12.716,1.768,0.0296,0.476,0.0568,0.668,0.0428,321.064,1400000US11001007709
1400000US11001007709,10,52,153,40.3191,6593.301,2772.306,41.202,3820.995,56.898,286.452,4.2183,4142.763,68.7681,3292.236,54.6417,818.154,13.5378,1767.762,29.3319,2278.863,64.3536,1280.205,494.424,785.781,31.392,24.525,6.867,87.309,18.639,68.67,905.463,371.799,533.664,256.041,79.461,176.58,97.4133,96.4323,98.1,96.138,98.1,94.5684,96.9228,98.1,96.138,0,0,0,9.81,0,6.867,0,0,0,0,0,0,0,0,6.867,42.183,51.993,61.803,103.005,95.157,30.411,9.81,0,0,24.8193,0,52.974,0,32.373,0,14.715,9.81,90.252,1943.361,1274.319,13.734,43.164,0,3118.599,433.602,7.2594,116.739,13.9302,163.827,10.4967,78740.946,1400000US11001007709
1400000US11001007709,10,53,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000US11001007709
1400000US11001007709,10,54,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000US11001007709
