GEO_ID,dec_ma,dec_tp,dec_mp,dec_mpp,dec_fp,dec_fpp,dec_aap,dec_aapp,dec_lf,dec_lfp,dec_em,dec_emp,dec_ue,dec_uep,dec_nlf,decnlfp,dec_flf,dec_flfp,d_e1824,d_e24lm,d_e24lf,d_nh24l,d_nh24lm,d_nh24lf,d_hs24l,d_hs24lm,d_hs24lm,d_as24l,d_as24lm,d_as24lf,d_ba24l,d_ba24lm,d_ba24lf,d_hs24l,d_hs34lm,d_hs34lf,d_ba34l,d_ba34lm,d_ba34lf,d_hs44l,d_hs44lm,d_hs44lf,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_750999,dec_1000,DEC_MGRp,DEC_MOC,DEC_FOC,DEC_MRC,DEC_FRC,DEC_MO,DEC_FO,DEC_MR,DEC_FR,DEC_OO,DEC_RO,DEC_SSM,DEC_SSMF,DEC_SSF,DEC_SSO,DEC_BPL,DEC_BPLp,DEC_BPLM,DEC_BPLF,DEC_BPLMp,DEC_BPLFp,DEC_MI,dem_dec,emp_dec,edu_dec,hsv_dec,ten_dec,pov_dec,ssh_dec
1400000US11001000100,40.7,4674,2194,46.9,2480,53.1,188,4,3128,73.1,3066,71.6,58,1.4,1152,26.9,1528,67.2,288,122,166,72,41,31,0,0,0,54,46,8,162,35,127,100,100,100,98.7,100,97.4,96.7,98.7,95,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,9,0,35,10,18,43,0,25.8,0,26,0,10,0,17,0,10,1447,1277,23,66,11,2591,243,5.2,84,8.1,106,7.9,92540,-3.273676534,-6.751991058,-6.649940655,0.284204312,-2.065977834,-2.080171018,-5.571904939
1400000US11001000201,19.9,4467,2019,45.2,2448,54.8,240,5.4,2415,54.1,2322,52.1,93,2.1,2045,45.9,1334,56.7,4284,2087,2197,0,0,0,266,130,136,3993,1957,2036,25,0,25,100,100,NA,100,NA,100,100,NA,100,0,0,0,0,0,0,0,0,7,0,0,0,0,12,10,19,56,57,137,106,83,39,0,0,20.9,0,0,0,0,0,0,0,0,20,10,0,0,0,58,143,71.1,0,0,143,79.9,87904,-2.68733035,-6.385725953,-22.23982155,3.161744356,1.098801354,-5.714501663,0.664050611
1400000US11001000202,32.9,3850,1912,49.7,1938,50.3,61,1.6,2425,68.1,2413,67.8,12,0.3,1136,31.9,1111,60.9,1101,422,679,0,0,0,39,8,31,484,251,233,578,163,415,100,100,100,99.3,98.8,100,98,97.3,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,50,9,5,0,7,35,20,0,14,1075,839,14,34,8,1803,944,24.5,325,33.1,582,48.3,90653,-2.944487254,-5.590507626,-12.19170509,0.440649434,-2.0172889,-9.495418591,-3.239844589
1400000US11001000300,30.4,5706,2649,46.4,3057,53.6,175,3.1,4020,74.8,3922,73,84,1.6,1355,25.2,2067,73.9,1248,588,660,55,16,39,69,42,27,455,313,142,669,217,452,100,100,100,97.6,95.5,100,97.2,98.1,96.5,0,0,0,6,0,0,0,0,0,0,21,8,10,14,10,31,22,17,23,16,0,0,0,0,27.9,0,32,10,10,22,47,18,30,1314,1464,0,31,0,2680,898,15.6,350,21.3,371,21,73558,-3.060983213,-8.233426268,-14.17914043,1.967312696,-3.81588472,-6.746801346,-2.57770387
1400000US11001000400,45.2,1510,737,48.8,773,51.2,67,4.4,833,64.1,830,63.8,3,0.2,467,35.9,360,52.6,74,11,63,0,0,0,21,0,21,0,0,0,53,11,42,100,100,100,100,100,100,99.1,98.5,100,0,0,0,0,0,0,0,0,0,0,0,46,25,52,31,14,29,0,0,0,0,0,0,0,28.7,0,0,0,0,5,14,0,5,451,219,16,0,0,664,45,3,5,2,40,14.7,129133,-3.121164261,-2.972125817,-4.987764034,1.7778818,0.2323569,-1.442243406,-0.382746983
1400000US11001000501,32.5,2765,1171,42.4,1594,57.6,134,4.8,2140,80.7,2058,77.6,76,2.9,512,19.3,1224,79.7,391,154,237,13,13,0,12,12,0,145,37,108,221,92,129,94.3,95.2,93.6,100,100,100,94,100,90.1,0,0,0,0,0,0,0,0,11,0,17,68,54,118,68,31,26,10,0,7,5,0,0,0,28.6,6,5,0,0,0,0,0,29,315,1457,33,50,8,1601,156,6,61,8.4,95,9.1,65521,-2.875470164,-5.499806593,-7.075568083,4.492628396,-0.523994421,-1.506024069,-4.223552739
1400000US11001000502,38,3112,1393,44.8,1719,55.2,83,2.7,2276,80.7,2246,79.6,30,1.1,544,19.3,1201,77.6,175,107,68,32,25,7,9,9,0,23,13,10,111,60,51,100,100,100,100,100,100,94.1,97,91.8,0,8,0,0,0,0,8,0,0,9,15,0,37,95,66,38,16,23,10,0,0,0,0,0,27.1,19,25,0,0,7,22,20,12,849,871,52,33,0,1642,133,4.3,72,11.8,45,5.5,66815,-3.034368213,-5.490394347,-5.824573088,4.364691071,-1.682219876,-1.229373793,-3.490385847
1400000US11001000600,45.6,4919,2075,42.2,2844,57.8,630,12.8,2759,63.3,2727,62.6,24,0.6,1598,36.7,1502,56.3,306,88,218,31,5,26,34,15,19,21,5,16,220,63,157,96.8,93,99.4,94.2,88.3,100,95.1,95.7,94.7,0,0,0,0,0,0,0,0,0,0,9,5,49,282,251,105,20,7,0,0,8,0,0,0,19.5,0,38,0,18,17,41,0,65,1345,822,7,43,28,1965,206,4.8,56,8.3,137,12.5,89507,-3.570767918,-6.44216305,-6.989224502,5.344139074,-2.802886177,-2.132000024,-5.547903008
1400000US11001000701,44.5,4395,1782,40.5,2613,59.5,159,3.6,2756,66.3,2648,63.7,108,2.6,1403,33.7,1585,62.3,398,159,239,45,27,18,14,14,0,106,31,75,233,87,146,98.9,100,98.1,95.3,96.7,94.4,96.6,98.4,95.5,0,0,0,0,0,0,0,0,0,0,0,0,19,4,51,6,45,5,33,16,8,0,0,0,29.5,0,17,0,0,0,34,32,82,1427,1488,24,26,0,2826,253,5.8,82,9.9,142,8.7,53470,-3.344365212,-6.630197135,-7.456106821,1.352278619,-2.85452635,-1.870026029,-3.336126364
1400000US11001000702,31.2,3326,1379,41.5,1947,58.5,221,6.6,2347,76.4,2279,74.2,68,2.2,725,23.6,1448,75.7,576,162,414,0,0,0,56,39,17,182,44,138,338,79,259,98.9,98.8,99,97,96.7,97.2,92.3,87.3,95.4,0,0,0,0,0,0,0,0,0,0,0,14,16,30,7,0,8,6,0,0,0,0,0,0,22.9,0,21,9,48,6,0,41,83,476,1826,0,17,0,2250,622,19,201,26.1,278,19.2,37244,-2.916056263,-5.895506584,-8.667874938,0.420411171,-2.856997185,-4.782270422,-1.75431403
1400000US11001000801,41.1,6721,2826,42,3895,58,292,4.3,4223,70.1,3356,55.7,834,13.8,1802,29.9,2323,65.6,1305,504,801,32,25,7,89,19,70,923,379,544,261,81,180,99.3,98.3,100,98,100,96.4,98.8,100,98,0,0,0,10,0,7,0,0,0,0,0,0,0,0,7,43,53,63,105,97,31,10,0,0,25.3,0,54,0,33,0,15,10,92,1981,1299,14,44,0,3179,442,7.4,119,14.2,167,10.7,80266,-3.473791706,-9.928808912,-11.92704199,3.797163024,-3.73579428,-3.037353259,-3.892490409
1400000US11001000802,34.3,2806,1370,48.8,1436,51.2,93,3.3,1776,71.1,1749,70,27,1.1,723,28.9,834,64.3,325,125,200,20,20,0,13,0,13,60,38,22,232,67,165,99.4,100,98.7,98,96.2,100,98.9,100,97.8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,40,42,7,0,22.5,0,10,13,15,6,5,13,30,750,598,28,40,7,1254,377,13.4,125,20.1,196,28.9,76919,-2.914998343,-4.625703084,-6.991534254,0.203977741,-1.326133942,-4.036789956,-3.32987273
1400000US11001000901,21.4,7208,3131,43.4,4077,56.6,408,5.7,5134,79.3,2127,32.8,3007,46.4,1344,20.7,2950,77.3,3336,1216,2120,70,24,46,284,37,247,2788,1074,1714,194,81,113,94.7,95.5,94.2,98.4,96.4,100,99.6,100,99.2,0,0,0,0,0,0,0,0,0,0,0,14,6,30,86,104,106,69,72,6,6,0,0,0,24.4,12,20,7,6,11,16,7,6,1301,162,4,13,0,1461,174,4.4,81,28.8,66,14,160829,-2.986384408,-14.40797168,-21.89020205,4.275007386,-1.571810524,-3.439078898,-1.086176244
1400000US11001000902,41.8,1973,917,46.5,1056,53.5,96,4.9,1182,74.9,1173,74.3,9,0.6,397,25.1,573,69.8,84,54,30,25,13,12,21,9,12,6,0,6,32,32,0,96.7,100,93.1,98.3,96.4,100,97.1,100,94.9,0,16,0,0,0,0,6,0,0,0,8,13,20,231,235,118,48,6,20,5,0,0,0,0,31,0,15,5,0,12,32,5,0,685,154,5,16,0,758,62,3.2,37,21.3,10,4.6,119932,-3.071328884,-3.742514557,-5.055334133,7.661773828,-0.859845668,-1.665060486,-0.620397853
1400000US11001001001,40.5,6062,2815,46.4,3247,53.6,195,3.2,3676,73.8,3567,71.6,102,2,1303,26.2,1796,68.1,343,211,132,28,10,18,15,8,7,107,107,0,193,86,107,100,100,100,98.3,97.9,98.7,96.8,97.6,96.2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,10,0,134,321,251,119,18,8,22.2,27,50,11,0,15,50,11,36,1989,559,27,36,13,2438,278,4.6,105,13.9,136,13.1,109770,-3.380424828,-7.62763059,-7.083969922,2.562801365,-3.865192697,-2.943885757,-4.8041443
1400000US11001001002,31.5,3465,1466,42.3,1999,57.7,219,6.3,2408,72.8,2338,70.7,60,1.8,901,27.2,1282,68.5,693,269,424,44,24,20,40,28,12,306,105,201,303,112,191,99.4,98.8,100,100,100,100,93.1,95.9,91.1,0,0,6,0,8,0,0,0,9,0,0,10,80,342,255,117,33,0,0,0,0,0,0,5,30,8,21,0,35,6,16,0,75,688,1593,21,46,0,2161,626,18.1,203,21.7,327,25.8,49647,-2.933732548,-5.77984813,-9.339507887,9.343964741,-1.961404698,-5.256935738,-3.325900884
1400000US11001001100,42.4,4428,1925,43.5,2503,56.5,252,5.7,2740,73.6,2690,72.3,36,1,981,26.4,1436,68.8,230,93,137,44,10,34,36,26,10,57,24,33,93,33,60,99,97.6,100,98.7,100,97.5,96.8,98.6,95.2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,5,0,18,51,170,122,162,57,41,25.5,0,30,0,0,20,47,0,0,1409,445,29,32,12,1778,86,2,44,9.2,27,3.7,103184,-3.323016682,-6.205295078,-6.307555378,2.488134918,-2.243834079,-1.171342831,-4.073656043
1400000US11001001200,37.4,4856,2182,44.9,2674,55.1,281,5.8,3438,80.8,3383,79.5,55,1.3,819,19.2,1848,76.7,476,162,314,29,7,22,16,8,8,122,55,67,309,92,217,99.5,98.9,100,91.7,91.1,92.1,96.9,96.2,97.5,0,0,0,0,0,0,0,0,0,0,0,0,16,4,25,25,10,9,107,666,639,287,46,14,24.3,17,47,7,31,18,40,29,97,1270,1297,39,79,23,2428,349,7.2,97,10.4,153,11.4,77753,-3.223858227,-7.230195509,-8.001652882,5.19747907,-4.182512314,-2.587675611,-7.656043501
1400000US11001001301,38.8,3747,1716,45.8,2031,54.2,270,7.2,2459,73.2,2430,72.3,24,0.7,901,26.8,1213,63.6,300,97,203,18,18,0,28,0,28,29,6,23,225,73,152,100,100,100,98.5,100,97.2,99.2,100,98.5,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,23,16,88,182,791,539,219,19,9,23.3,8,0,9,0,15,20,16,49,642,1406,16,56,13,1958,300,8.1,75,10.9,116,13.1,68417,-3.182941734,-5.634403597,-7.049621463,6.245165327,-1.940350588,-2.176695164,-4.68507324
1400000US11001001302,38.3,6294,2582,41,3712,59,374,5.9,4620,76.4,4516,74.7,95,1.6,1424,23.6,2640,72.8,359,115,244,14,7,7,18,5,13,58,40,18,269,63,206,100,100,100,100,100,100,97.7,98.7,96.9,0,0,7,0,0,0,0,0,0,0,0,7,78,340,352,204,118,38,0,0,0,9,0,7,22.5,0,0,0,21,0,49,13,48,1511,3137,26,106,0,4391,270,4.3,57,3.7,158,6.1,58790,-3.381942865,-9.277174191,-7.349722174,10.53770313,-3.641876038,-1.580433403,-7.349841397
1400000US11001001401,39.6,3150,1426,45.3,1724,54.7,157,5,1992,76.4,1915,73.5,77,3,615,23.6,1051,72.9,175,65,110,49,24,25,26,18,8,38,23,15,62,0,62,95.6,95.6,95.6,98.4,100,97,94.3,93.6,94.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,189,190,235,127,97,21.8,6,13,0,21,19,13,7,38,767,693,37,16,0,1404,107,3.4,10,3.3,81,13.4,87823,-3.117176416,-5.187983474,-5.599012502,2.09754191,-1.47563386,-1.247752014,-2.233179268
1400000US11001001402,54.5,3925,2279,58.1,1646,41.9,555,14.1,1555,43.6,1525,42.8,30,0.8,2011,56.4,810,54.4,168,67,101,8,0,8,18,5,13,37,31,6,105,31,74,95.6,94.3,97.1,96.3,96.3,96.3,93.1,92.9,93.3,0,0,0,0,7,0,0,0,0,0,0,0,0,7,6,0,0,0,31,118,127,447,257,260,26.3,0,26,0,7,17,59,9,7,834,398,9,14,14,1191,352,13,146,35.6,176,30.3,84105,-3.75878584,-4.968027909,-5.430716722,4.827083173,-1.752392073,-4.619996198,-2.531872197
1400000US11001001500,44.8,5649,2664,47.2,2985,52.8,633,11.2,2847,64.3,2787,62.9,51,1.2,1583,35.7,1315,56.1,131,78,53,21,16,5,0,0,0,50,33,17,60,29,31,100,100,100,98.8,97.7,100,98.6,97.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,18,79,10,0,12,83,10,9,1953,269,37,28,20,2135,88,1.6,60,14.9,28,5.2,107917,-3.596426611,-6.404972527,-5.196407139,-0.970455994,-4.256094839,-1.540900907,-5.355517562
1400000US11001001600,48.2,4030,1871,46.4,2159,53.6,2919,72.4,2206,65.1,2120,62.5,86,2.5,1185,34.9,1120,62.5,166,76,90,20,8,12,31,4,27,34,11,23,81,53,28,92.3,96.4,88.1,96.1,91.9,100,98.4,98.3,98.4,0,0,0,0,0,0,0,0,0,0,5,6,0,8,14,0,6,14,37,107,211,306,163,152,22,41,68,8,15,52,145,16,29,1465,168,6,0,0,1618,197,4.9,81,21.5,58,16.3,94624,-4.470080158,-5.588684445,-5.642303718,3.275835403,-5.34477546,-2.430121707,-0.860662013
1400000US11001001701,40.5,2968,1352,45.6,1616,54.4,2297,77.4,1820,70.4,1702,65.8,118,4.6,767,29.6,1008,70,214,99,115,33,33,0,60,17,43,62,29,33,59,20,39,76.2,72.1,80.8,81.6,78.6,84.6,87,77.7,93.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,30,62,73,110,327,93,79,36,5,18,14,84,18,86,29,124,589,643,0,31,0,1253,416,13.8,131,30.3,94,16.7,47813,-4.17577173,-5.117918689,-5.113423185,2.955859426,-3.27812285,-3.151309719,-1.365475506
1400000US11001001702,41.8,2240,1038,46.3,1202,53.7,1637,73.1,1092,61.2,1029,57.7,63,3.5,692,38.8,583,60.3,142,71,71,51,35,16,31,20,11,31,11,20,29,5,24,88.4,91.9,86.1,79.7,77.3,83,94.8,97.5,92.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,120,83,77,24.3,24,41,6,31,0,100,6,51,712,271,24,9,18,829,94,4.3,34,12.6,60,19.3,52393,-4.048801754,-3.790908127,-4.87802862,0.725275922,-2.043402578,-1.295286236,-2.981238224
1400000US11001001801,26,615,388,63.1,227,36.9,211,34.3,566,92,45,7.3,0,0,49,8,39,22.3,331,185,146,0,0,0,121,73,48,191,104,87,19,8,11,100,100,100,100,100,NA,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,9,0,170,250,322,63,149,36,35,22.5,0,0,0,0,0,0,0,0,0,7,0,0,0,14,38,6.5,0,0,38,26.2,42188,-2.899431289,-0.575439537,-6.322585058,4.9864053,1.120804692,-0.672428185,0.70142836
1400000US11001001803,37.1,3066,1417,46.2,1649,53.8,2146,70,1662,66,1515,60.2,147,5.8,856,34,953,67.3,245,139,106,111,68,43,56,41,15,59,20,39,19,10,9,72.8,63.6,81.6,77,76.9,77.1,76.5,85,69.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,28,55,20,0,0,19.1,5,8,55,111,11,41,120,171,307,1199,0,46,13,1391,359,11.7,102,26.5,96,17.1,34565,-3.986503343,-4.996990063,-5.210802683,-0.127070414,-5.755364179,-2.579247101,-3.34418643
